sro,member_name,website,member_type,logo_file
Sahamati,Lunchbrake Classic Private Limited,https://fold.money/,member,
Sahamati,MobiKwik Investment Adviser Private Limited,https://www.mobikwik.com/,member,
Sahamati,NABARD,https://www.nabard.org/,member,
Sahamati,Narendra Finance Co Pvt Ltd,https://nfcpl.in/,member,
Sahamati,Navi Finserv Limited,https://navi.com/finserv,member,
Sahamati,NAVI INVESTMENT ADVISORS PRIVATE LIMITED,https://navi.com/niapl,member,
Sahamati,NSDL,https://nsdl.co.in/,member,
Sahamati,Paisabazaar Marketing and Consulting Private Limited,https://www.paisabazaar.com/,member,
Sahamati,Pivot Money,https://www.pivotmoney.app/,member,
Sahamati,Protean eGovernance Technologies Limited,https://www.proteantech.in/,member,
Sahamati,Punjab National Bank,https://pnb.bank.in/,member,
Sahamati,Raise Financial Services ( Formerly known as Moneylicious Securities Pvt. Ltd.),https://dhan.co/about/,member,
Sahamati,SBI Mutual Fund,https://www.sbimf.com/,member,
Sahamati,Small Industries Development Bank of India,http://www.sidbi.in/,member,
Sahamati,State Bank Of India,https://sbi.bank.in/,member,
Sahamati,STK Credit Private Limited (Inprime Finserv),https://inprime.in/,member,
Sahamati,TATA Capital Housing Finance Limited,https://www.tatacapital.com/,member,
Sahamati,Tata Capital Limited,https://www.tatacapital.com/,member,
Sahamati,The South Indian Bank Ltd,https://www.southindianbank.com/,member,
Sahamati,Transwarranty Finance Limited,"https://www.transwarranty.com%20,%20",member,
Sahamati,Ugro Capital Ltd,https://www.ugrocapital.com/,member,
Sahamati,Ujjivan Small Finance Bank,https://www.ujjivansfb.in/,member,
Sahamati,Unifinz Capital India Limited,https://www.lendingplate.com/,member,
Sahamati,Upstox,https://upstox.com/,member,
Sahamati,Vivifi India Finance,https://www.vivifin.com/,member,
Sahamati,Zerodha Broking Ltd,https://zerodha.com/,member,
